testID, questionID, MC, POINTS, CORRECT, gptRATE, gptTOPIC,,,,,,,,,,,,
14-11-15-A, Q1,,2,1,[2,3,4,2,5,2,5,2,3,3, 3], [Exponents, Fractional Powers, Arithmetic Operations]
14-11-15-A, Q2,,2,1,[2,2,4,2,5,2,5,2,2,2, 2], [Matrix Addition, Arithmetic Operations],
14-11-15-A, Q3,,2,1,[3,4,4,3,5,2,5,3,3,3, 4], [Limits, Rational Functions, Calculus]
14-11-15-A, Q4,,3,1,[3,3,3,2,4,3,5,3,3,3, 3], [Graph Theory, Adjacency Matrix, Discrete Mathematics]
14-11-15-A, Q5,,3,1,[3,3,4,3,5,3,5,3,3,3, 4], [Sequences, Geometric Progression, Exponents]
14-11-15-A, Q6,,3,1,[3,4,4,3,5,2,5,3,3,3, 4], [Definite Integrals, Algebraic Manipulation, Calculus]
14-11-15-A, Q7,,3,1,[3,4,4,3,5,3,5,3,3,3, 4], [Binomial Expansion, Algebra, Exponents]
14-11-15-A, Q8,,3,0,[3,4,4,3,5,2,5,3,3,3, 4], [Limits, Piecewise Functions, Calculus]
14-11-15-A, Q9,,3,1,[3,3,4,3,5,3,5,3,3,3, 4], [Sequences, Series, Algebra]
14-11-15-A, Q10,,3,1,[4,4,5,3,5,3,5,3,3,3, 4], [Logarithms, Algebra, Signal Processing]
14-11-15-A, Q11,,3,1,[4,4,4,3,5,3,5,3,3,3, 4], [Geometric Series, Sequences, Series]
14-11-15-A, Q12,,3,1,[4,3,5,3,5,3,5,3,3,3, 4], [Probability, Normal Distribution, Statistics]
14-11-15-A, Q13,,3,1,[3,3,4,3,5,3,5,3,3,3, 4], [Matrices, Linear Algebra, Systems of Equations]
14-11-15-A, Q14,,4,0,[4,4,4,3,5,3,5,3,3,3, 4], [Linear Equations, Graphing, Algebra]
14-11-15-A, Q15,,4,1,[4,4,5,3,5,3,5,3,3,3, 4], [Exponential Inequalities, Algebra, Exponents]
14-11-15-A, Q16,,4,1,[4,4,5,3,5,3,5,3,3,3, 4], [Probability, Conditional Probability, Set Theory]
14-11-15-A, Q17,,4,0,[4,4,4,3,5,3,5,3,3,3, 4], [Arithmetic Sequences, Series, Algebra]
14-11-15-A, Q18,,4,1,[4,3,5,3,5,3,5,3,3,3, 4], [Systems of Equations, Integer Solutions, Combinatorics]
14-11-15-A, Q19,,4,1,[4,4,4,3,5,3,5,3,3,3, 4], [Matrix Operations, Linear Algebra, Matrix Inverses]
14-11-15-A, Q20,,4,0,[4,4,5,3,5,3,5,3,3,3, 4], [Piecewise Functions, Integrals, Symmetry]
14-11-15-A, Q21,,4,0,[4,5,5,3,5,3,5,3,3,3, 4], [Cubic Functions, Derivatives, Optimization]
14-11-15-A, Q22,,3,1,[2,2,5,3,5,2,5,2,3,3, 3], [Limits, Algebra],
14-11-15-A, Q23,,3,1,[3,4,5,3,5,3,5,3,3,3, 4], [Piecewise Functions, Continuity, Algebra]
14-11-15-A, Q24,,3,1,[2,4,5,2,5,2,5,2,3,3, 3], [Series, Summation, Algebra]
14-11-15-A, Q25,,3,1,[3,4,5,3,5,3,5,3,3,3, 4], [Binomial Distribution, Variance, Probability Theory]
14-11-15-A, Q26,,4,1,[3,4,5,3,5,3,5,3,3,3, 4], [Differentiation, Integration, Polynomial Functions]
14-11-15-A, Q27,,4,1,[3,3,5,3,4,3,5,3,3,3, 4], [Probability, Continuous Distributions, Integrals]
14-11-15-A, Q28,,4,0,[5,4,5,4,4,4,5,4,5,3, 4], [Limits, Sequences, Series]
14-11-15-A, Q29,,4,1,[4,3,5,3,4,3,5,3,3,3, 4], [Polynomials, Derivatives, Local Minima]
14-11-15-A, Q30,,4,1,[4,4,5,3,4,3,5,3,4,3, 4], [Coordinate Geometry, Triangles, Inequalities]
