testID, questionID, MC, POINTS, CORRECT, gptRATE, gptTOPIC,,,,,,,,,,,,,
15-11-13-B, Q1,,2,1,[2,3,5,2,5,2,5,3,3,2, 3], [Matrix Operations, Arithmetic Operations],,
15-11-13-B, Q2,,2,1,[3,4,5,2,5,2,5,3,4,3, 4], [Limits, Logarithmic Functions, Trigonometric Functions],
15-11-13-B, Q3,,2,1,[3,4,5,2,5,3,5,4,4,3, 4], [Coordinate Geometry, Centroid, Algebra],
15-11-13-B, Q4,,3,1,[3,4,5,2,5,2,5,3,3,3, 4], [Integration, Logarithmic Functions],,
15-11-13-B, Q5,,3,1,[3,4,5,2,5,3,5,3,4,3, 4], [Probability, Conditional Probability, Set Theory],
15-11-13-B, Q6,,3,1,[3,4,5,2,5,3,5,3,4,3, 4], [Linear Transformations, Coordinate Geometry, Vectors],
15-11-13-B, Q7,,3,1,[4,4,5,2,5,3,5,4,4,3, 4], [Differentiation, Exponential Functions, Geometry],
15-11-13-B, Q8,,3,1,[3,4,5,2,5,3,5,3,4,3, 4], [Probability, Combinatorics],,
15-11-13-B, Q9,,3,0,[5,4,5,3,5,4,5,4,5,3, 5], [Geometry, Conic Sections, Tangent Lines, Coordinate Geometry]
15-11-13-B, Q10,,3,1,[4,4,5,3,5,4,5,4,5,3, 5], [Exponential Functions, Algebra, Growth Models],
15-11-13-B, Q11,,3,1,[3,3,5,2,5,3,5,3,4,3, 4], [Piecewise Functions, Absolute Value Functions, Graph Analysis],
15-11-13-B, Q12,,3,0,[3,3,5,2,5,3,5,3,4,3, 4], [Radical Equations, Algebra, Function Analysis],
15-11-13-B, Q13,,3,1,[5,5,5,4,5,5,5,5,5,4, 5], [Geometric Sequences, Fractal Geometry, Infinite Series],
15-11-13-B, Q14,,4,1,[2,3,5,2,5,3,5,3,4,3, 4], [Combinatorics, Integer Sequences, Inequalities],
15-11-13-B, Q15,,4,1,[4,4,5,3,5,4,5,4,5,3, 5], [Coordinate Geometry, Parallelograms, Optimization],
15-11-13-B, Q16,,4,0,[4,5,5,4,5,4,5,3,5,4, 5], [Matrix Algebra, Matrix Operations, System of Equations],
15-11-13-B, Q17,,4,0,[5,5,5,5,5,5,5,5,5,5, 5], [Recurrence Relations, Sequences, Factorial Functions],
15-11-13-B, Q18,,4,1,[4,5,5,4,5,4,5,3,4,4, 5], [Probability, Normal Distribution, Statistical Inference],
15-11-13-B, Q19,,4,0,[5,5,5,3,5,4,5,3,5,4, 5], [Geometry, 3D Geometry, Distance and Projection],
15-11-13-B, Q20,,4,0,[3,4,5,2,5,3,5,3,4,3, 4], [Logarithms, Number Theory, Properties of Functions],
15-11-13-B, Q21,,4,0,[5,5,5,4,5,5,5,5,5,4, 5], [Differentiation, Polynomial Functions, Curve Intersections, Implicit Differentiation]
15-11-13-B, Q22,,3,1,[2,3,5,2,5,3,5,3,4,3, 4], [Arithmetic Sequences, Algebra, Sequences and Series],
15-11-13-B, Q23,,3,1,[2,3,5,1,5,2,5,3,5,2, 5], [Trigonometric Functions, Derivatives, Basic Differentiation],
15-11-13-B, Q24,,3,1,[5,5,5,2,5,3,5,3,5,3, 5], [Probability, Integration, Continuous Distributions],
15-11-13-B, Q25,,3,1,[5,5,5,3,5,3,5,3,5,3, 5], [Geometric Sequences, Limits, Series Convergence],
15-11-13-B, Q26,,4,0,[5,5,5,3,5,4,5,3,5,3, 5], [Ellipses, Geometry, Coordinate Geometry, Pythagorean Theorem]
15-11-13-B, Q27,,4,1,[5,4,5,3,5,4,5,2,5,4, 5], [Coordinate Geometry, 3D Geometry, Distance Formula],
15-11-13-B, Q28,,4,0,[4,4,5,4,5,3,5,4,5,3, 5], [Calculus, Geometry, Limits],
15-11-13-B, Q29,,4,0,[5,4,5,4,5,3,5,4,5,3, 5], [Vectors, Geometry, Trigonometry],
15-11-13-B, Q30,,4,0,[4,5,5,4,4,4,5,4,5,4, 5], [Calculus, Definite Integrals, Function Analysis],
