testID, questionID, MC, POINTS, CORRECT, gptRATE, gptTOPIC,,,,,,,,,,,,,,
17-11-24-A, Q1,,2,1,[2,2,5,1,5,2,5,2,3,2, 2], [Exponents, Fractional Powers, Arithmetic Operations],,
17-11-24-A, Q2,,2,1,[2,3,5,2,5,2,5,3,3,2, 3], [Set Theory, Algebra],,,
17-11-24-A, Q3,,2,1,[3,3,5,2,5,2,5,2,3,3, 3], [Limits, Exponents, Arithmetic Operations],,
17-11-24-A, Q4,,3,0,[3,3,5,2,5,2,5,3,3,3, 3], [Function Composition, Functions],,,
17-11-24-A, Q5,,3,1,[4,4,5,2,5,3,5,4,3,3, 3], [Limits, Functions, Graph Analysis],,
17-11-24-A, Q6,,3,1,[4,4,5,3,5,3,5,4,4,3, 4], [Algebra, Inequalities, Set Theory],,
17-11-24-A, Q7,,3,1,[4,4,5,3,5,3,5,3,4,3, 4], [Probability, Set Theory, Conditional Probability],,
17-11-24-A, Q8,,3,0,[4,4,5,3,5,3,5,4,4,4, 4], [Combinatorics, Partition Theory],,,
17-11-24-A, Q9,,3,1,[4,4,5,3,5,3,5,4,4,3, 4], [Calculus, Integration, Algebra],,
17-11-24-A, Q10,,3,1,[4,4,5,3,5,3,5,4,4,3, 4], [Probability, Set Theory, Conditional Probability],,
17-11-24-A, Q11,,3,0,[4,4,5,3,5,4,5,3,4,3, 4], [Coordinate Geometry, Integer Solutions, Functions],,
17-11-24-A, Q12,,3,1,[4,4,5,3,5,3,5,4,4,3, 4], [Binomial Theorem, Algebra, Exponents],,
17-11-24-A, Q13,,3,1,[4,4,5,3,5,3,5,4,4,3, 4], [Recursion, Sequences, Mathematical Induction],,
17-11-24-A, Q14,,4,1,[4,4,5,3,5,3,5,4,4,4, 4], [Sequences, Arithmetic Sequences, Algebra],,
17-11-24-A, Q15,,4,1,[4,4,5,4,5,3,5,4,4,3, 4], [Statistics, Normal Distribution, Probability],,
17-11-24-A, Q16,,4,0,[4,4,5,3,5,3,5,4,4,3, 4], [Logarithms, Algebra],,,
17-11-24-A, Q17,,4,1,[5,5,5,4,5,4,5,5,5,4, 5], [Probability, Expectation, Variance, Transformations of Random Variables],
17-11-24-A, Q18,,4,0,[5,5,5,4,5,4,5,5,5,4, 5], [Calculus, Limits, Derivatives, Cubic Functions],
17-11-24-A, Q19,,4,0,[5,5,5,4,5,4,5,5,5,4, 5], [Geometric Sequences, Limits, Geometry, Fractals],
17-11-24-A, Q20,,4,0,[5,5,5,4,5,4,5,5,5,4, 5], [Calculus, Derivatives, Critical Points, Functions, Local Extrema]
17-11-24-A, Q21,,4,0,[5,5,5,4,5,4,5,5,5,4, 5], [Functions, Composition of Functions, Graph Analysis, Interval Analysis],
17-11-24-A, Q22,,3,1,[2,1,5,1,5,1,5,1,2,1, 1], [Combinatorics, Binomial Coefficients],,,
17-11-24-A, Q23,,3,1,[2,2,5,1,5,2,5,1,2,1, 1], [Calculus, Derivatives, Polynomial Functions],,
17-11-24-A, Q24,,3,1,[2,3,5,2,5,2,5,2,3,2, 2], [Set Theory, Operations on Sets, Complementation],,
17-11-24-A, Q25,,3,1,[3,3,5,2,5,3,5,2,3,3, 2], [Calculus, Limits, Function Behavior, Continuity],
17-11-24-A, Q26,,4,1,[4,4,5,3,5,3,5,4,4,3, 5], [Calculus, Area Between Curves, Integration],,
17-11-24-A, Q27,,4,1,[4,4,5,3,5,3,5,4,4,3, 5], [Sequences, Summation, Algebraic Manipulation],,
17-11-24-A, Q28,,4,1,[4,3,5,3,5,2,5,2,4,3, 5], [Probability, Binomial Distribution, Coin Flipping],,
17-11-24-A, Q29,,4,0,[5,4,4,4,5,4,5,5,3,4, 5], [Piecewise Functions, Differentiability, Inequalities],,
17-11-24-A, Q30,,4,0,[5,5,5,4,5,5,4,5,5, 5], [Piecewise Functions, Calculus, Sequences],,,
