testID, questionID, MC, POINTS, CORRECT, gptRATE, gptTOPIC,,,,,,,,,,,,,,
18-11-16-B, Q1,,2,1,[2,3,4,1,5,2,5,2,3,3, 2], [Vectors, Arithmetic Operations, Scalar Multiplication],,
18-11-16-B, Q2,,2,1,[4,5,5,2,5,3,5,4,4,4, 4], [Limits, Calculus, L'Hôpital's Rule, Algebraic Manipulation],
18-11-16-B, Q3,,2,1,[3,4,5,2,5,3,5,3,3,3, 3], [Coordinate Geometry, Section Formula, Algebra],,
18-11-16-B, Q4,,3,1,[3,3,5,2,5,3,5,3,4,3, 3], [Probability, Set Theory, Complementary Events],,
18-11-16-B, Q5,,3,1,[5,4,5,3,5,4,5,4,4,4, 5], [Exponential Functions, Logarithmic Functions, Transformations, Symmetry],
18-11-16-B, Q6,,3,1,[4,4,5,2,5,3,5,3,4,4, 4], [Conic Sections, Parabolas, Distance Formula, Geometry],
18-11-16-B, Q7,,3,0,[4,5,5,2,5,3,5,3,4,4, 4], [Differentiation, Exponential Functions, Tangent Line, Calculus],
18-11-16-B, Q8,,3,1,[4,4,5,2,5,3,5,3,4,4, 4], [Probability, Binomial Distribution, Variance, Expectation],
18-11-16-B, Q9,,3,1,[5,5,5,2,5,3,5,4,4,4, 4], [Inverse Functions, Derivatives, Exponential Functions, Calculus],
18-11-16-B, Q10,,3,1,[4,4,5,2,5,3,5,3,4,4, 4], [Probability, Number Theory, Combinatorics],,
18-11-16-B, Q11,,3,0,[5,4,5,3,5,4,5,4,4,4, 5], [Quadratic Equations, Trigonometry, Discriminant, Inequalities],
18-11-16-B, Q12,,3,1,[4,4,5,3,5,3,5,3,4,4, 4], [Combinatorics, Permutations, Distributions, Inequalities],
18-11-16-B, Q13,,3,0,[4,4,5,2,5,3,5,3,4,4, 4], [Coordinate Geometry, Planes, Intersection, Parametric Equations],
18-11-16-B, Q14,,4,0,[5,4,5,3,5,4,5,4,4,4, 4], [Quadratic Functions, Inequalities, Exponents, Algebra],
18-11-16-B, Q15,,4,1,[4,4,5,2,5,3,5,3,4,4, 4], [Probability, Normal Distribution, Conditional Probability, Z-Score],
18-11-16-B, Q16,,4,1,[5,5,5,3,5,4,5,4,4,4, 5], [Functional Equations, Integrals, Substitution, Calculus],
18-11-16-B, Q17,,4,1,[5,5,5,3,5,4,5,4,4,4, 5], [Combinatorics, Functions, Counting Principles, Set Theory],
18-11-16-B, Q18,,4,1,[5,4,5,3,5,4,5,4,4,4, 5], [Geometry, Limits, Trigonometry, Area Calculation],
18-11-16-B, Q19,,4,0,[5,5,5,3,5,4,5,4,4,4, 5], [3D Geometry, Tetrahedron, Perpendiculars, Area Calculation],
18-11-16-B, Q20,,4,0,[5,5,5,3,5,4,5,4,4,4, 5], [Trigonometry, Tangent Line, Curve Analysis, Inequalities],
18-11-16-B, Q21,,4,1,[5,5,5,3,5,4,5,4,4,4, 5], [Differentiation, Functional Equations, Calculus, Substitution],
18-11-16-B, Q22,,3,1,[2,1,5,1,5,2,5,1,3,3, 3], [Permutations, Combinations, Basic Algebra],,
18-11-16-B, Q23,,3,1,[2,1,5,1,5,2,5,1,3,3, 3], [Trigonometry, Secant, Tangent, Algebra],
18-11-16-B, Q24,,3,1,[4,4,5,2,5,3,5,3,4,4, 4], [Parametric Equations, Acceleration, Velocity, Trigonometry],
18-11-16-B, Q25,,3,1,[4,3,5,2,5,3,5,3,4,4, 4], [Integration, Trigonometry, Substitution, Algebra],
18-11-16-B, Q26,,4,1,[5,5,5,3,5,4,5,4,4,4, 5], [Statistics, Confidence Interval, Normal Distribution, Sample Mean],
18-11-16-B, Q27,,4,1,[5,5,5,3,5,4,5,4,4,4, 5], [Probability, Independence, Divisors, Dice],
18-11-16-B, Q28,,4,1,[5,5,5,3,5,4,5,4,4,4, 5], [Ellipses, Geometry, Distance, Circle, Intersections]
18-11-16-B, Q29,,4,0,[5,5,5,3,5,4,5,4,4,4, 5], [Vector Geometry, Triangles, Area, Coordinates, Linear Combinations]
18-11-16-B, Q30,,4,1,[5,5,5,3,4,4,5,4,4,4, 5], [Cubic Functions, Derivatives, Trigonometric Functions, Optimization, Algebra]
